Index,Delta Curvature: neural,Delta Curvature: control,Distances,"Rates, correlation empirical vs predicted","Variance, correlation empirical vs predicted","Covariance, correlation empirical vs predicted",Dataset,Pixel curvature,sequence type,dither
55,38.9592986204263,25.1739348991801,0.94,0.93,0.85,0.67,ay4_u006_image_sequences,106.6373,1,1
56,-39.6019171219372,-24.2018788212094,0.94,0.93,0.88,0.67,ay4_u006_image_sequences,83.0395,1,1
57,-10.4295298610456,-9.61793960590212,1.99,0.94,0.87,0.56,ay4_u006_image_sequences,84.9083,1,1
58,-10.8674356932330,-16.4448050246208,1.30,0.93,0.83,0.50,ay4_u006_image_sequences,73.4071,1,1
59,-18.2120773072144,4.33130099745463,0.76,0.92,0.86,0.68,ay4_u006_image_sequences,62.1746,1,1
60,-14.8042489639660,-10.9022820080377,2.11,0.92,0.88,0.67,ay4_u006_image_sequences,107.549,1,1
61,-26.5786696790558,-10.6901573683119,0.89,0.96,0.92,0.73,ay4_u005_image_sequences,101.5326,1,1
62,-31.7417964485645,-0.404669631403343,0.99,0.97,0.93,0.79,ay4_u005_image_sequences,105.9307,1,1
63,-3.20639781502525,-9.06709047145258,1.41,0.97,0.93,0.77,ay4_u005_image_sequences,93.3074,1,1
64,6.27513364703294,-12.2520255973475,1.83,0.95,0.88,0.63,ay4_u005_image_sequences,104.9207,1,1
65,-62.0917315182904,24.6773733781411,0.54,0.95,0.84,0.59,ay4_u005_image_sequences,104.9132,1,1
66,-38.4228291193813,-2.51436845767227,0.60,0.96,0.91,0.79,ay4_u005_image_sequences,84.9883,1,1
67,-9.50276938689619,-17.0998322179497,1.45,0.97,0.92,0.73,ay4_u005_image_sequences,86.3547,1,1
68,-22.9868294623550,-19.1182571520174,1.08,0.96,0.93,0.77,ay4_u005_image_sequences,72.2898,1,1
69,1.11421378719143,8.40527725390053,0.62,0.96,0.89,0.77,ay4_u005_image_sequences,63.4753,1,1
70,-8.51561883968291,-7.43405143630233,1.74,0.94,0.85,0.61,ay4_u005_image_sequences,107.481,1,1
71,-45.8664223660533,-4.31025098715540,0.77,0.96,0.92,0.79,ay4_u005_image_sequences,99.0342,1,1
72,-12.3083733258133,-7.82906867036236,1.01,0.96,0.91,0.80,ay4_u005_image_sequences,103.6573,1,1
73,5.07802768936098,-12.4523164276271,1.48,0.96,0.90,0.67,ay4_u005_image_sequences,87.4242,1,1
74,14.7161105752701,-10.2287859743666,1.69,0.96,0.92,0.79,ay4_u005_image_sequences,106.6673,1,1
75,-20.5448644671865,1.96668690821138,1.10,0.95,0.91,0.79,ay4_u005_image_sequences,106.6373,1,1
76,-16.6890218544191,1.63181055691538,0.73,0.96,0.91,0.80,ay4_u005_image_sequences,83.0395,1,1
77,-6.59142815977441,-13.8192870031679,1.46,0.97,0.91,0.60,ay4_u005_image_sequences,84.9083,1,1
78,23.1608177392878,-18.8945456712706,1.12,0.89,0.85,0.55,ay4_u005_image_sequences,73.4071,1,1
79,-13.2009989782135,12.3430746236398,0.61,0.95,0.92,0.83,ay4_u005_image_sequences,62.1746,1,1
80,-2.75383769072676,-3.81057462261642,2.01,0.96,0.90,0.63,ay4_u005_image_sequences,107.549,1,1
81,-62.0863113403258,8.54677498871643,0.79,0.94,0.92,0.86,ay3_u001_image_sequences,101.5326,1,1
82,-21.1644831064063,49.9083260864194,0.45,0.90,0.89,0.87,ay3_u001_image_sequences,105.9307,1,1
83,-30.4466364630809,9.05482989405590,0.44,0.93,0.92,0.85,ay3_u001_image_sequences,93.3074,1,1
84,4.01205458920154,-7.22014335152189,2.07,0.91,0.91,0.77,ay3_u001_image_sequences,104.9207,1,1
85,-52.3251285389615,47.8254888235484,0.74,0.91,0.91,0.89,ay3_u001_image_sequences,104.9132,1,1
